brand,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(cc),max_power(bhp),seats,selling_price
Honda,2004,110000,Petrol,Individual,Manual,Third Owner,12.8,1493.0,100.0,5.0,198000
Hyundai,2001,71000,Petrol,Individual,Manual,Second Owner,18.622931937172773,1148.7329842931938,76.06890052356023,5.0,60000
Maruti,2005,140000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,130000
Honda,2012,100000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,540000
Hyundai,2017,10000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5.0,550000
Maruti,2018,30000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,475000
Audi,2017,22000,Diesel,Dealer,Automatic,First Owner,15.73,1968.0,174.33,5.0,2825000
Honda,2020,5500,Diesel,Dealer,Manual,First Owner,26.8,1597.0,118.0,5.0,2125000
BMW,2018,18000,Diesel,Dealer,Automatic,First Owner,19.62,1998.0,190.0,5.0,3350000
Toyota,2018,20000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,8.0,1800000
Hyundai,2018,7000,Petrol,Dealer,Manual,First Owner,20.3,1086.0,68.0,5.0,540000
Force,2018,20000,Diesel,Dealer,Manual,First Owner,17.0,2596.0,80.8,5.0,910000
Maruti,2019,4875,Petrol,Dealer,Manual,First Owner,21.63,998.0,67.04,5.0,484999
Hyundai,2020,2700,Diesel,Dealer,Automatic,First Owner,17.01,1582.0,126.2,5.0,1950000
Maruti,2018,58511,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,950000
Ford,2015,105000,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,5.0,365000
Mahindra,2018,26235,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6.0,900000
Tata,2017,26766,Diesel,Dealer,Manual,First Owner,21.5,1497.0,108.5,5.0,919999
MG,2020,1600,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,1900000
Mercedes-Benz,2018,46000,Diesel,Dealer,Manual,First Owner,15.8,2148.0,170.0,5.0,2950000
Mahindra,2019,23000,Diesel,Dealer,Manual,First Owner,17.3,1497.0,121.0,7.0,1075000
Maruti,2017,24522,Petrol,Dealer,Manual,First Owner,20.4,1197.0,81.8,5.0,600000
BMW,2017,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,3200000
Skoda,2019,11000,Diesel,Dealer,Automatic,First Owner,19.3,1968.0,141.0,5.0,2600000
Maruti,2016,63000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,839000
Volkswagen,2019,2000,Petrol,Dealer,Manual,First Owner,16.2,1199.0,74.0,5.0,635000
Mahindra,2014,300000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8.0,550000
Mahindra,2011,190000,Diesel,Individual,Manual,Third Owner,19.2,1461.0,65.0,5.0,180000
Honda,2015,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,650000
Honda,2011,80000,Petrol,Individual,Manual,Second Owner,16.0,1198.0,90.0,5.0,350000
Maruti,2015,54000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,265000
Renault,2018,30000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,330000
Maruti,2019,5000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7.0,395000
Mahindra,2015,58945,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,700000
Ford,2012,90000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,300000
Toyota,2011,375000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,650000
Maruti,2013,160000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7.0,625000
Volkswagen,2014,80000,Diesel,Individual,Manual,Second Owner,15.11,1598.0,103.6,5.0,425000
Maruti,2004,50000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,55000
Tata,2015,80000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0,250000
Mahindra,2015,156975,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9.0,459999
Toyota,2017,5000,Diesel,Individual,Manual,First Owner,21.43,1364.0,86.79,5.0,1594000
Chevrolet,2014,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,300000
Ford,2018,27620,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5.0,950000
Mahindra,2013,120000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,484999
Mahindra,2009,120000,Diesel,Individual,Manual,Third Owner,14.0,2498.0,112.0,8.0,161000
Hyundai,2015,58000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0,500000
Nissan,2012,50000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,350000
Maruti,2017,40000,Petrol,Individual,Automatic,First Owner,20.89,1197.0,81.8,5.0,550000
Honda,2018,7800,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5.0,850000
Maruti,2016,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,240000
Ford,2011,68000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,950000
Maruti,2015,60000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,423000
Tata,2005,74000,Petrol,Individual,Manual,Second Owner,12.8,1396.0,85.0,5.0,90000
Tata,2011,58000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,7.0,350000
Maruti,2011,70000,Petrol,Individual,Manual,Third Owner,19.0,998.0,66.1,5.0,170000
Ford,2015,70000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,450000
Hyundai,2009,110000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,150000
Hyundai,2002,80000,Petrol,Individual,Manual,Third Owner,17.88674418604651,1225.4883720930231,79.5246511627907,5.0,75000
Hyundai,2016,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,511000
Maruti,2018,59000,Diesel,Individual,Manual,First Owner,24.2,1498.0,93.87,7.0,850000
Tata,2018,110000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,250000
Maruti,2020,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,420000
Maruti,2014,55000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,180000
Maruti,2015,25000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,5.0,400000
Mahindra,2009,300000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,7.0,150000
Ford,2016,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,500000
Jeep,2017,60000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,5.0,1689999
Nissan,2012,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0,204999
Maruti,2014,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5.0,459999
Hyundai,2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,600000
Hyundai,2019,8000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,585000
Ford,2012,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,551000
Maruti,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,525000
Maruti,2012,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0,160000
Mahindra,2014,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,825000
Hyundai,2007,137000,CNG,Individual,Manual,First Owner,11.286,1290.5,77.9,5.0,127000
Chevrolet,2015,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,600000
Maruti,2002,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,65000
Maruti,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,550000
Mahindra,2015,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,650000
Maruti,2019,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,750000
Mahindra,2017,80000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,380000
Hyundai,2012,138000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5.0,400000
Maruti,2003,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,50000
Mahindra,2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,750000
Chevrolet,2011,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0,150000
Maruti,2016,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,245000
Tata,2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,260000
Volkswagen,2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,411000
Hyundai,2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,450000
BMW,2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,1300000
Maruti,2016,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,351000
Mahindra,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,550000
BMW,2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,1300000
Tata,2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,260000
Volkswagen,2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,411000
Hyundai,2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,450000
BMW,2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,1300000
Maruti,2016,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,351000
Mahindra,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,550000
BMW,2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,1300000
Nissan,2016,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,750000
Nissan,2015,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,800000
Tata,2011,156000,Diesel,Individual,Manual,First Owner,11.57,2179.0,138.1,7.0,350000
Maruti,2013,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,200000
Tata,2008,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0,150000
Nissan,2016,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,800000
Hyundai,2017,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,350000
Tata,2011,160000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,350000
Mahindra,2006,185000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,9.0,250000
Tata,2010,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0,170000
Renault,2018,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,395000
Mahindra,2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,450000
Maruti,2019,15000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5.0,500000
Tata,2012,67500,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10.0,200000
Tata,2017,30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,1200000
Mahindra,2016,50000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,400000
Mahindra,2016,100000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,650000
Mahindra,2016,150000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,550000
Mahindra,2015,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,1100000
Maruti,2012,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,254999
Maruti,2011,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,180000
Mahindra,2010,255000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,160000
Chevrolet,2008,120000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,5.0,225000
Maruti,2015,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,270000
Tata,2012,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,310000
Datsun,2015,71850,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,225000
Fiat,2015,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5.0,300000
Maruti,2008,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5.0,250000
Hyundai,2011,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,180000
Maruti,2015,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,550000
Mahindra,2007,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,300000
Hyundai,2015,145000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,900000
Tata,2012,190000,Diesel,Individual,Manual,Third Owner,16.68232558139535,1629.0697674418604,82.49790697674419,5.0,254999
Mahindra,2018,40000,Diesel,Individual,Manual,First Owner,16.0,2179.0,138.0,7.0,1530000
Maruti,2015,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,590000
Maruti,2008,112000,LPG,Individual,Manual,Second Owner,15.57,1061.0,57.5,5.0,170000
Audi,2017,70000,Diesel,Individual,Automatic,First Owner,20.38,1968.0,143.0,5.0,2600000
Maruti,2016,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,475000
Hyundai,2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,700000
Maruti,2011,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,376000
Hyundai,2002,120000,Petrol,Individual,Manual,Fourth & Above Owner,16.160476190476192,1269.7619047619048,80.03571428571429,5.0,100000
Maruti,2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4.0,75000
Mahindra,2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8.0,440000
Maruti,2016,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,390000
Toyota,2012,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7.0,725000
Mahindra,2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,325000
Maruti,2010,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,170000
Maruti,2010,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,215000
Honda,2010,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,350000
Chevrolet,2009,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5.0,80000
Hyundai,2012,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,195000
Maruti,2011,85000,Diesel,Individual,Manual,First Owner,24.774488888888893,1246.1422222222222,79.36571111111112,5.0,280000
Nissan,2014,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0,335000
Mahindra,2011,108000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7.0,475000
Renault,2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0,484999
Maruti,2018,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5.0,650000
Audi,2014,76131,Diesel,Individual,Automatic,First Owner,13.22,2967.0,241.4,5.0,1850000
Hyundai,2018,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,700000
Audi,2014,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,3000000
Mahindra,2018,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7.0,900000
Volkswagen,2013,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0,350000
Honda,2005,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,285000
Audi,2012,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,1850000
Maruti,2017,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,750000
Land,2013,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5.0,1650000
Honda,2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0,600000
Volkswagen,2018,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5.0,565000
Daewoo,2000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,86000
Datsun,2016,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,329000
Ford,2016,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,650000
Hyundai,2015,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,822000
Renault,2013,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,345000
Maruti,2001,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,30000
Maruti,2012,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,330000
Maruti,2014,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,300000
Maruti,2009,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5.0,200000
Tata,2012,80000,Diesel,Individual,Manual,Second Owner,17.9798064516129,1597.7483870967742,86.50929032258068,5.0,200000
Chevrolet,2010,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,90000
Maruti,2010,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,200000
Hyundai,2016,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0,550000
Chevrolet,2015,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,250000
Honda,2017,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,975000
Toyota,2014,100000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,8.0,900000
Hyundai,2018,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,610000
Maruti,2017,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,620000
Hyundai,2016,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,400000
Maruti,2019,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5.0,500000
Datsun,2017,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7.0,200000
Tata,2016,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5.0,360000
Maruti,2012,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,252000
Maruti,2012,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,280000
Maruti,2018,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5.0,509999
Mahindra,2016,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,1050000
Maruti,2010,40000,LPG,Individual,Manual,Fourth & Above Owner,15.57,1061.0,57.5,5.0,200000
Maruti,2005,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,60000
Mahindra,2010,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7.0,320000
Mahindra,2013,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,520000
Tata,2007,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7.0,250000
Maruti,2017,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,725000
Mahindra,2015,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,585000
Tata,2017,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,430000
Maruti,2011,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,235000
Maruti,2012,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,350000
Hyundai,2010,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5.0,131000
Honda,2016,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,450000
Maruti,2016,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,750000
Maruti,2013,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,200000
Maruti,2009,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0,125000
Mahindra,2014,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,500000
Maruti,2012,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,380000
Maruti,2008,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,128000
Honda,2009,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,250000
Mahindra,2017,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,690000
Mahindra,2014,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,650000
Honda,2012,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,560000
Tata,2012,160000,Diesel,Individual,Manual,Second Owner,17.9798064516129,1597.7483870967742,86.50929032258068,5.0,120000
Maruti,2016,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,400000
Maruti,2012,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,200000
Hyundai,2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,950000
Maruti,2016,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,300000
Renault,2016,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5.0,315000
Maruti,2012,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,220000
Chevrolet,2011,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0,130000
Hyundai,2016,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0,595000
Tata,2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,110000
Ford,2017,13500,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0,680000
Fiat,2013,52000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,280000
Maruti,2017,30000,Petrol,Individual,Manual,Second Owner,21.4,1197.0,83.1,5.0,530000
Hyundai,2017,14000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0,610000
Tata,2014,90000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7.0,500000
Tata,2018,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5.0,500000
Mahindra,2010,120000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,250000
Hyundai,2018,10000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,325000
Maruti,2018,10000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,550000
Maruti,2018,25000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5.0,720000
Hyundai,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,950000
Maruti,2013,60000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,350000
Hyundai,2018,40000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,500000
Maruti,2012,60000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,380000
Hyundai,2015,50000,Petrol,Individual,Automatic,First Owner,16.9,1197.0,82.0,5.0,380000
Hyundai,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,900000
Maruti,2017,35000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,295000
Maruti,2016,40000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,640000
Tata,2018,60000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,790000
Hyundai,2015,20000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,5.0,625000
Ford,2017,30000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,121.36,5.0,604000
Maruti,2015,29000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,315000
Mahindra,2019,17000,Diesel,Individual,Manual,First Owner,20.0,1497.0,115.0,5.0,950000
Maruti,2017,50000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,400000
Hyundai,2018,42000,Petrol,Individual,Automatic,First Owner,18.6,1368.0,98.63,5.0,700000
Toyota,2011,120000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,8.0,700000
Mahindra,2012,110000,Diesel,Individual,Manual,First Owner,21.03,1461.0,65.0,5.0,260000
Tata,2012,90000,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5.0,200000
Maruti,2020,70000,Petrol,Individual,Manual,First Owner,23.26,1197.0,88.5,5.0,580000
Volkswagen,2011,66000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,105.0,5.0,330000
Hyundai,2011,70000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5.0,400000
Hyundai,2018,5000,Petrol,Individual,Automatic,First Owner,14.8,1591.0,121.3,5.0,1350000
Mahindra,2014,50000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,5.0,250000
Skoda,2019,25000,Petrol,Individual,Manual,First Owner,15.41,1598.0,103.2,5.0,725000
Maruti,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,300000
Maruti,2006,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,120000
Mahindra,2016,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,1175000
Tata,2009,150000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,380000
Tata,2014,45000,Diesel,Individual,Manual,First Owner,19.1,1405.0,70.0,5.0,400000
Tata,2005,90000,Diesel,Individual,Manual,Third Owner,16.1,1405.0,70.0,5.0,140000
Tata,2011,140000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7.0,229999
Ford,2003,83000,Petrol,Individual,Manual,Second Owner,13.8,1299.0,70.0,5.0,110000
Volkswagen,2011,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968.0,138.1,5.0,550000
Chevrolet,2008,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150.0,74.9,5.0,150000
Maruti,2017,40000,Petrol,Individual,Manual,Second Owner,16.8,796.0,34.2,8.0,265000
Hyundai,2011,138000,Petrol,Individual,Manual,Third Owner,17.0,1197.0,80.0,5.0,300000
Maruti,2015,80000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,280000
Hyundai,2005,50000,Petrol,Individual,Manual,Second Owner,15.3,1341.0,83.0,5.0,130000
Chevrolet,2015,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,350000
Maruti,2009,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0,200000
Maruti,2018,24400,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,550000
